@type,@context,streetAddress,addressLocality,addressRegion,postalCode,latitude,longitude,priceString,price,beds,baths,sqft,name,url
GeoCoordinates,http://schema.org,104 Timeless Trl #104,Dunlap,TN,37327,35.352257,-85.44064,"$32,500",32500,5,,,"104 Timeless Trl #104, Dunlap, TN 37327",https://www.zillow.com/homedetails/104-Timeless-Trl-104-Dunlap-TN-37327/2075664519_zpid/
GeoCoordinates,http://schema.org,1673 Hudlow Loop Rd,Dunlap,TN,37327,"1,519",35.317028,-85.41301,"$200,000",200000,3,2,1519,"1673 Hudlow Loop Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/1673-Hudlow-Loop-Rd-Dunlap-TN-37327/42123395_zpid/
GeoCoordinates,http://schema.org,12833 Us Highway 127,Dunlap,TN,37327,993,35.335274,-85.397026,"$230,000",230000,,0,993,"12833 Us Highway 127, Dunlap, TN 37327",https://www.zillow.com/homedetails/12833-Us-Highway-127-Dunlap-TN-37327/227074049_zpid/
GeoCoordinates,http://schema.org,38 Bluff View Dr,Dunlap,TN,37327,35.360626,-85.4514,"$38,500",38500,5,,,"38 Bluff View Dr, Dunlap, TN 37327",https://www.zillow.com/homedetails/38-Bluff-View-Dr-Dunlap-TN-37327/2119508645_zpid/
GeoCoordinates,http://schema.org,564 Stooping Oak Rd,Dunlap,TN,37327,"1,536",35.457233,-85.43921,"$350,000",350000,3,2,1536,"564 Stooping Oak Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/564-Stooping-Oak-Rd-Dunlap-TN-37327/121392355_zpid/
GeoCoordinates,http://schema.org,0 Lewis Chapel Rd,Dunlap,TN,37327,"$75,000",75000,6,,,"0 Lewis Chapel Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/0-Lewis-Chapel-Rd-Dunlap-TN-37327/2109577945_zpid/
GeoCoordinates,http://schema.org,7602 Brockdell Rd,Pikeville,TN,37367,"1,696",35.551674,-85.3652,"$7,500",7500,,1,1696,"7602 Brockdell Rd, Pikeville, TN 37367",https://www.zillow.com/homedetails/7602-Brockdell-Rd-Pikeville-TN-37367/81026019_zpid/
GeoCoordinates,http://schema.org,Hazel Dr,Dunlap,TN,37327,"1,207",35.36743,-85.402695,"$255,000",255000,,2,1207,"Hazel Dr, Dunlap, TN 37327",https://www.zillow.com/homedetails/Hazel-Dr-Dunlap-TN-37327/60274682_zpid/
GeoCoordinates,http://schema.org,6866 Daus Mountain Rd,Whitwell,TN,37397,"2,403",35.30785,-85.44677,"$800,000",800000,3,3,2403,"6866 Daus Mountain Rd, Whitwell, TN 37397",https://www.zillow.com/homedetails/6866-Daus-Mountain-Rd-Whitwell-TN-37397/252171023_zpid/
GeoCoordinates,http://schema.org,194 Wallace St,Dunlap,TN,37327,"1,400",35.371414,-85.38424,"$150,000",150000,3,2,1400,"194 Wallace St, Dunlap, TN 37327",https://www.zillow.com/homedetails/194-Wallace-St-Dunlap-TN-37327/70973051_zpid/
GeoCoordinates,http://schema.org,Skyhigh Dr,Dunlap,TN,37327,35.331585,-85.398994,"$42,500",42500,3,,,"Skyhigh Dr, Dunlap, TN 37327",https://www.zillow.com/homedetails/Skyhigh-Dr-Dunlap-TN-37327/55727863_zpid/
GeoCoordinates,http://schema.org,2 Hazel Dr,Dunlap,TN,37327,"1,320",35.367393,-85.402794,"$255,000",255000,3,2,1320,"2 Hazel Dr, Dunlap, TN 37327",https://www.zillow.com/homedetails/2-Hazel-Dr-Dunlap-TN-37327/2062286120_zpid/
